gid,funderid,fundername,awardid,value,popdate,fundagency,fundsubagency,fundoffice,psc,naics,ruei,rcage,rparuei
6397,https://openalex.org/F4320337345,Office of Naval Research,S5122,,,,,,,,,,
6398,https://openalex.org/F4320337367,Division of Materials Research,DMR-2027102,,,,,,,,,,
6354,https://openalex.org/F4320306076,National Science Foundation,ECS-0335765,,,,,,,,,,
6362,https://openalex.org/F4320337345,Office of Naval Research,N000141912375,,,,,,,,,,
5395,https://openalex.org/F4320338279,Air Force Office of Scientific Research,FA9550-19-1-0390,,,,,,,,,,
6358,https://openalex.org/F4320338279,Air Force Office of Scientific Research,FA9550-15-1-0514,,,,,,,,,,
6347,https://openalex.org/F4320306076,National Science Foundation,2239525,,,,,,,,,,
6387,https://openalex.org/F4320306084,U.S. Department of Energy,DE-SC0021006,,,,,,,,,,
6360,https://openalex.org/F4320337345,Office of Naval Research,N000141612333,,,,,,,,,,
6342,https://openalex.org/F4320306076,National Science Foundation,DMR1231319,,,,,,,,,,
6370,https://openalex.org/F4320337351,National Cancer Institute,P30-CA14051,,,,,,,,,,
6353,https://openalex.org/F4320306202,Gordon and Betty Moore Foundation,GBMF9463,,,,,,,,,,
6346,https://openalex.org/F4320332180,Defense Advanced Research Projects Agency,FA8650-17-1-7713,,,,,,,,,,
6365,https://openalex.org/F4320306076,National Science Foundation,2016245,,,,,,,,,,
6341,https://openalex.org/F4320338281,Army Research Office,W911NF-18-1-0116,,,,,,,,,,
6357,https://openalex.org/F4320306076,National Science Foundation,2141064,,,,,,,,,,
3990,https://openalex.org/F4320338075,Core Research for Evolutional Science and Technology,JPMJCR15F3,,,,,,,,,,
6399,https://openalex.org/F4320337390,"Division of Chemical, Bioengineering, Environmental, and Transport Systems",CBET-1844904,,,,,,,,,,
6401,https://openalex.org/F4320338281,Army Research Office,W911NF2210027,,,,,,,,,,
6402,https://openalex.org/F4320337345,Office of Naval Research,N00014-21-1-2593,,,,,,,,,,
6403,https://openalex.org/F4320306260,Breast Cancer Research Foundation,BCRF-21-159,,,,,,,,,,
6404,https://openalex.org/F4320337351,National Cancer Institute,P50 CA265826-01A1,,,,,,,,,,
6405,https://openalex.org/F4320332161,National Institutes of Health,EB022433,,,,,,,,,,
6406,https://openalex.org/F4320337351,National Cancer Institute,1R01HL157174-01A1,,,,,,,,,,
6407,https://openalex.org/F4320306078,U.S. Department of Defense,W81XWH-18-1-0751,,,,,,,,,,
6408,https://openalex.org/F4320337351,National Cancer Institute,U24CA224331,,,,,,,,,,
6409,https://openalex.org/F4320338279,Air Force Office of Scientific Research,FA23862014072,,,,,,,,,,
6410,https://openalex.org/F4320338281,Army Research Office,64655-CH-ISN,,,,,,,,,,
6428,https://openalex.org/F4320332180,Defense Advanced Research Projects Agency,D18AP00039,,,,,,,,,,
6414,https://openalex.org/F4320306076,National Science Foundation,2125118,,,,,,,,,,
6415,https://openalex.org/F4320332161,National Institutes of Health,R01-EB017755-041745302,,,,,,,,,,
6416,https://openalex.org/F4320306076,National Science Foundation,NSFCareerPHY-1454673,,,,,,,,,,
6419,https://openalex.org/F4320306076,National Science Foundation,CHE-1839155,,,,,,,,,,
6420,https://openalex.org/F4320306078,U.S. Department of Defense,National Defense Science and Engineering Graduate Research Fellowship Program,,,,,,,,,,
6424,https://openalex.org/F4320306076,National Science Foundation,EFMA-1641064,,,,,,,,,,
6456,https://openalex.org/F4320337345,Office of Naval Research,N00014-18-1-2832,,,,,,,,,,
6425,https://openalex.org/F4320306151,Alfred P. Sloan Foundation,G-2020-14067,,,,,,,,,,
6458,https://openalex.org/F4320333591,Multidisciplinary University Research Initiative,W911NF-19-1-0233,,,,,,,,,,
6429,https://openalex.org/F4320338279,Air Force Office of Scientific Research,FA2386-21-1-4086,,,,,,,,,,
6430,https://openalex.org/F4320338281,Army Research Office,W911NF-18-1-0432,,,,,,,,,,
6431,https://openalex.org/F4320315474,Chan Zuckerberg Initiative,2021- 237457,,,,,,,,,,
6432,https://openalex.org/F4320338438,HORIZON EUROPE Marie Sklodowska-Curie Actions,721456,,,,,,,,,,
6434,https://openalex.org/F4320311904,Wellcome Trust,223770/Z/21/Z,,,,,,,,,,
6435,https://openalex.org/F4320332180,Defense Advanced Research Projects Agency,HR00112290091,,,,,,,,,,
6437,https://openalex.org/F4320337345,Office of Naval Research,N00014-15-1-2673,,,,,,,,,,
6438,https://openalex.org/F4320337338,"National Heart, Lung, and Blood Institute",HL14541,,,,,,,,,,
6439,https://openalex.org/F4320337355,National Institute of Allergy and Infectious Diseases,P01 AI123286,,,,,,,,,,
6440,https://openalex.org/F4320338281,Army Research Office,Cooperative Agreement W911NF-19-2-0026,,,,,,,,,,
6442,https://openalex.org/F4320337345,Office of Naval Research,N00014-20-1-2561,,,,,,,,,,
6443,https://openalex.org/F4320337354,National Institute of General Medical Sciences,DP2GM146253,,,,,,,,,,
6444,https://openalex.org/F4320306271,Damon Runyon Cancer Research Foundation,DRG-2446-21,,,,,,,,,,
6446,https://openalex.org/F4320306133,Burroughs Wellcome Fund,1015763.02,,,,,,,,,,
6447,https://openalex.org/F4320306084,U.S. Department of Energy,DE-SC0021951,,,,,,,,,,
6413,https://openalex.org/F4320320847,Science Foundation Ireland,18/CRT/6049,,,,,,,,,,
6448,https://openalex.org/F4320306076,National Science Foundation,NSF PHY-1733907,,,,,,,,,,
6449,https://openalex.org/F4320306076,National Science Foundation,2237244,,,,,,,,,,
6450,https://openalex.org/F4320338281,Army Research Office,W911NF2010136,,,,,,,,,,
6451,https://openalex.org/F4320338279,Air Force Office of Scientific Research,FA9550-19-1-0044,,,,,,,,,,
6452,https://openalex.org/F4320306076,National Science Foundation,1753386,,,,,,,,,,
6453,https://openalex.org/F4320306076,National Science Foundation,NSF PHY-1734011,,,,,,,,,,
6454,https://openalex.org/F4320306084,U.S. Department of Energy,DE-SC0016214,,,,,,,,,,
6455,https://openalex.org/F4320308476,Association of Research Libraries,W911NF-21-2-0150,,,,,,,,,,
