oid,name,eid,amount,year,country,herddod,herddoe,herdhhs,herdnasa,herdnsf,herdusda,herdfedother,herdstate,herdinst,herdbusi,herdnonprof,herdallother
186,King's College - Pennsylvania,120216,$375.00,2022,USA,,,,,,,,,,,,
185,Moravian University,220640,$364.00,2022,USA,,,,,,,,,,,,
187,Pennsylvania State University,217958,"$469,628.00",2022,USA,,,,,,,,,,,,
191,Salus University,114387,$355.00,2022,USA,,,,,,,,,,,,
198,University of Pittsburgh,206267,"$737,138.00",2022,USA,,,,,,,,,,,,
199,Philadelphia University,226770,$855.00,2022,USA,,,,,,,,,,,,
200,University of Scranton,221999,$557.00,2022,USA,,,,,,,,,,,,
201,Ursinus College,114226,$330.00,2022,USA,,,,,,,,,,,,
205,Widener University,198284,$611.00,2022,USA,,,,,,,,,,,,
209,Providence College,195384,"$4,907.00",2022,USA,,,,,,,,,,,,
212,Benedict College,200487,$590.00,2022,USA,,,,,,,,,,,,
219,Florenceâ€“Darlington Technical College,121455,$959.00,2022,USA,,,,,,,,,,,,
225,Trident Technical College,121781,$200.00,2022,USA,,,,,,,,,,,,
227,Voorhees College,122282,"$2,813.00",2022,USA,,,,,,,,,,,,
11722,Saint Joseph's College of Maine,121714,"$8,000.00",2023,USA,,,,,,,,,,,,
9154,Davidson College,218543,"$947,000.00",2021,USA,$0.00,"$29,000.00","$632,000.00",$0.00,"$472,000.00",$0.00,"$18,000.00","$7,000.00","$771,000.00","$24,000,000.00","$421,000,000.00","$92,000,000.00"
8594,Harvey Mudd College,217572,"$1,200,000.00",2021,USA,"$43,000.00",$0.00,$0.00,"$51,000.00","$1,349,000.00",$0.00,$0.00,$0.00,"$695,000.00","$11,000,000.00","$98,000,000.00","$112,000,000.00"
9238,Portland State University,218267,"$25,272,000.00",2021,USA,"$2,333,000.00","$1,288,000.00","$11,037,000.00","$1,024,000.00","$6,865,000.00","$992,000.00","$6,303,000.00","$44,000.00","$361,000.00",$0.00,"$223,000,000.00",$0.00
294,Texas State University,209375,"$14,494.00",2022,USA,"$4,281,000.00","$266,000.00","$5,165,000.00","$4,480,000.00","$5,296,000.00","$982,000.00","$18,466,000.00","$3,810,000.00","$60,338,000.00","$1,102,000,000.00","$5,800,000,000.00","$116,000,000.00"
8712,Jacksonville University,114000,"$236,000.00",2021,USA,,,,,,,,"$352,000.00",$0.00,"$70,000,000.00","$38,000,000.00",$0.00
298,Texas Tech University,202558,"$36,473.00",2022,USA,"$7,422,000.00","$8,193,000.00","$6,446,000.00","$2,218,000.00","$9,951,000.00","$4,334,000.00","$6,572,000.00","$29,861,000.00","$121,050,000.00","$13,367,000,000.00","$16,426,000,000.00","$889,000,000.00"
265,Baylor University,219158,"$13,673.00",2022,USA,"$1,794,000.00","$1,484,000.00","$5,786,000.00","$185,000.00","$3,802,000.00","$2,063,000.00","$742,000.00","$2,211,000.00","$34,144,000.00","$3,165,000,000.00","$7,682,000,000.00","$2,956,000,000.00"
275,Prairie View A&M University,114094,"$22,998.00",2022,USA,"$1,745,000.00","$1,313,000.00","$5,000.00","$717,000.00","$1,981,000.00","$5,610,000.00","$294,000.00","$4,037,000.00","$3,898,000.00","$327,000,000.00","$502,000,000.00",$0.00
279,Southern Methodist University,218116,"$16,627.00",2022,USA,"$3,541,000.00","$1,431,000.00","$3,473,000.00","$662,000.00","$6,419,000.00","$5,000.00","$2,149,000.00","$1,106,000.00","$33,929,000.00","$1,918,000,000.00","$2,751,000,000.00","$160,000,000.00"
288,Texas A&M University â€“ Corpus Christi,218374,"$5,447.00",2022,USA,"$673,000.00","$83,000.00","$1,185,000.00","$214,000.00","$2,959,000.00","$133,000.00","$9,982,000.00","$9,903,000.00","$5,287,000.00","$90,000,000.00","$2,782,000,000.00","$2,723,000,000.00"
289,Texas A&M University â€“ Kingsville,203993,"$6,227.00",2022,USA,"$448,000.00","$40,000.00","$1,436,000.00","$181,000.00","$1,516,000.00","$2,701,000.00","$1,903,000.00","$6,241,000.00","$2,812,000.00","$389,000,000.00","$5,647,000,000.00","$137,000,000.00"
237,South Dakota State University,217583,"$19,410.00",2022,USA,"$1,293,000.00","$460,000.00","$4,562,000.00","$735,000.00","$3,367,000.00","$9,268,000.00","$3,306,000.00","$16,267,000.00","$4,841,000.00","$1,278,000,000.00","$2,537,000,000.00","$11,676,000,000.00"
991,"Queens College, CUNY",199184,"$27,494.00",2022,USA,"$108,000.00","$8,749,000.00","$3,377,000.00",$0.00,"$2,498,000.00","$24,000.00",$0.00,"$1,362,000.00","$4,717,000.00","$83,000,000.00","$439,000,000.00","$77,000,000.00"
