"AID","name","orcid","hindex","i10index","_affilliation","_afilldaterange","_afillEID","flagged","openalexid"
"120504","Zehao Lin","https://orcid.org/0000-0002-5308-1065",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5087982402"
"120505","Dongqi Zheng","https://orcid.org/0000-0002-1665-352X",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5016833284"
"120506","Jie Zhang","https://orcid.org/0000-0001-6712-433X",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5010292967"
"120507","Mengwei Si","https://orcid.org/0000-0003-0397-7741",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5059106002"
"120508","Peide D. Ye","https://orcid.org/0000-0001-8466-9745",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5063222844"
"120509","Bing Deng","https://orcid.org/0000-0003-0530-8410",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5004466285"
"120510","Zhe Wang","https://orcid.org/0000-0001-8812-3184",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5100407578"
"120511","Chi Hun Choi","https://orcid.org/0000-0001-8203-0788",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5062301017"
"120512","Gang Li","https://orcid.org/0000-0001-5295-7769",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5100438611"
"120513","Zhe Yuan","https://orcid.org/0000-0002-7627-2980",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5010581446"
"120514","Jinhang Chen","https://orcid.org/0000-0002-6150-5104",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5059147009"
"120515","Duy Xuan Luong","https://orcid.org/0000-0001-7089-3359",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5091532695"
"120516","Lucas Eddy","https://orcid.org/0000-0001-8189-0081",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5074779611"
"120517","Bongki Shin","https://orcid.org/0000-0003-0256-2624",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5031642935"
"120518","Alexander Lathem","https://orcid.org/0000-0003-1625-0031",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5012469152"
"120519","Weiyin Chen","https://orcid.org/0000-0002-6427-4129",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5032406569"
"120520","Yi Cheng","https://orcid.org/0000-0002-5865-0685",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5078310617"
"120521","Shichen Xu","https://orcid.org/0009-0000-2818-3011",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5028523155"
"120522","Qiming Liu","https://orcid.org/0000-0001-5839-5453",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5019760949"
"120523","Yimo Han","https://orcid.org/0000-0003-0563-4611",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5049862280"
"120524","Yufeng Zhao","https://orcid.org/0000-0002-7644-5407",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5035677481"
"120525","James M. Tour","https://orcid.org/0000-0002-8479-9328",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5056053028"
"120526","Boyang Zhao","https://orcid.org/0000-0001-5562-2630",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5102874928"
"120527","Guodong Ren","https://orcid.org/0000-0001-6253-8314",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5072754597"
"120528","Hongyan Mei","https://orcid.org/0000-0002-4461-7438",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5003724733"
"120529","Vincent C. Wu","https://orcid.org/0000-0001-8592-5421",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5053731786"
"120530","Shantanu Singh","https://orcid.org/0000-0003-3150-3025",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5071122261"
"120531","Gwan Yeong Jung","https://orcid.org/0000-0001-5867-4575",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5052615820"
"120532","Huandong Chen","https://orcid.org/0000-0001-9371-4237",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5086513066"
"120533","Raynald Giovine","https://orcid.org/0000-0002-7208-6929",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5041154391"
"120534","Shanyuan Niu","https://orcid.org/0000-0002-0559-3461",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5036532056"
"120535","Arashdeep Singh Thind","https://orcid.org/0000-0003-0262-766X",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5060737364"
"120536","Jad Salman","https://orcid.org/0000-0002-2365-3667",NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5087165326"
"120537","Nick Settineri",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"https://openalex.org/A5013823363"
